Name of Institute	Branch	Delhi	Outside Delhi
Guru Tegh Bahadur 4th Centenary Engineering College	Computer Science & Engineering	Min Rank - 190042 Max Rank - 318341	Min Rank - 87338 Max Rank - 121312
Guru Tegh Bahadur 4th Centenary Engineering College	CSE (Data Science)	Min Rank - 188606 Max Rank - 351308	Min Rank - 114052 Max Rank - 136306
Guru Tegh Bahadur 4th Centenary Engineering College	CSE- AIML	Min Rank - 173639 Max Rank - 325106	Min Rank - 84540 Max Rank - 135246
Guru Tegh Bahadur 4th Centenary Engineering College	Electronics & Communication Engineering	Min Rank - 262421 Max Rank - 422062	Min Rank - 145000 Max Rank - 159170
Guru Tegh Bahadur 4th Centenary Engineering College	Information Technology	Min Rank - 310814 Max Rank - 378320	Min Rank - 137380 Max Rank - 145654
HMR Institute of Technology & Management	Artificial Intelligence & Data Science	Min Rank - 426530 Max Rank - 691709	Min Rank - 192088 Max Rank - 208077
HMR Institute of Technology & Management	Artificial Intelligence & Machine Learning	Min Rank - 437696 Max Rank - 789707	Min Rank - 162946 Max Rank - 220494
HMR Institute of Technology & Management	Computer Science & Engineering (Shift I)	Min Rank - 252843 Max Rank - 494393	Min Rank - 84128 Max Rank - 176201
HMR Institute of Technology & Management	Computer Science & Engineering (Shift II)	Min Rank - 357782 Max Rank - 550390	Min Rank - 179386 Max Rank - 188501
HMR Institute of Technology & Management	Computer Science & Technology	Min Rank - 368124 Max Rank - 648455	Min Rank - 155285 Max Rank - 211713
HMR Institute of Technology & Management	CSE - AI	Min Rank - 334982 Max Rank - 715592	Min Rank - 194454 Max Rank - 213472
HMR Institute of Technology & Management	CSE (Cyber Security)	Min Rank - 365606 Max Rank - 627069	Min Rank - 95621 Max Rank - 177070
HMR Institute of Technology & Management	CSE- AIML	Min Rank - 370760 Max Rank - 621069	Min Rank - 155545 Max Rank - 197450
HMR Institute of Technology & Management	CSE- DS	Min Rank - 427804 Max Rank - 774847	Min Rank - 199471 Max Rank - 216456
HMR Institute of Technology & Management	Information Technology	Min Rank - 487906 Max Rank - 818989	Min Rank - 189067 Max Rank - 212621
JIMS Engineering Management Technical Campus	Artificial Intelligence & Data Science	Min Rank - 329727 Max Rank - 1412240	Min Rank - 222320 Max Rank - 248167
JIMS Engineering Management Technical Campus	Artificial Intelligence & Machine Learning	Min Rank - 474133 Max Rank - 1438118	Min Rank - 167225 Max Rank - 243690
JIMS Engineering Management Technical Campus	Computer Science & Engineering	Min Rank - 230614 Max Rank - 1204953	Min Rank - 158572 Max Rank - 241374
JIMS Engineering Management Technical Campus	Computer Science & Technology	Min Rank - 452429 Max Rank - 1466559	Min Rank - 190832 Max Rank - 242471
JIMS Engineering Management Technical Campus	CSE- AIML	Min Rank - 212245 Max Rank - 729408	Min Rank - 144147 Max Rank - 226331
Maharaja Agrasen Institute of Technology	Computer Science & Engineering (Shift I)	Min Rank - 19737 Max Rank - 85429	Min Rank - 29267 Max Rank - 54096
Maharaja Agrasen Institute of Technology	Computer Science & Engineering (Shift II)	Min Rank - 74100 Max Rank - 91234	Min Rank - 52373 Max Rank - 55785
Maharaja Agrasen Institute of Technology	Computer Science & Technology	Min Rank - 78599 Max Rank - 109371	Min Rank - 51459 Max Rank - 60512
Maharaja Agrasen Institute of Technology	CSE - AI	Min Rank - 41156 Max Rank - 92818	Min Rank - 45545 Max Rank - 55923
Maharaja Agrasen Institute of Technology	CSE- AIML	Min Rank - 36395 Max Rank - 86421	Min Rank - 21436 Max Rank - 54071
Maharaja Agrasen Institute of Technology	CSE- DS	Min Rank - 63592 Max Rank - 96531	Min Rank - 52632 Max Rank - 57886
Maharaja Agrasen Institute of Technology	Electrical & Electronics Engineering	Min Rank - 100885 Max Rank - 223405	Min Rank - 67457 Max Rank - 83363
Maharaja Agrasen Institute of Technology	Electronics & Comm.- Advance Comm. Technology	Min Rank - 76396 Max Rank - 175191	Min Rank - 59218 Max Rank - 80577
Maharaja Agrasen Institute of Technology	Electronics & Communication Engineering	Min Rank - 35180 Max Rank - 138006	Min Rank - 61961 Max Rank - 69754
Maharaja Agrasen Institute of Technology	Electronics Engg.- VLSI Design & Technology	Min Rank - 55276 Max Rank - 192391	Min Rank - 67620 Max Rank - 78188
Maharaja Agrasen Institute of Technology	Information Technology	Min Rank - 89926 Max Rank - 135548	Min Rank - 57787 Max Rank - 67344
Maharaja Agrasen Institute of Technology	Mechanical Engineering	Min Rank - 120575 Max Rank - 284455	Min Rank - 85174 Max Rank - 99033
Maharaja Surajmal Institute Technology	Computer Science & Engineering (Shift I)	Min Rank - 52036 Max Rank - 117485	Min Rank - 31517 Max Rank - 62496
